parameter,L_bin,MLT_bin,value
H_f,4,4,1.0205393967313932
H_f,4,4,0.4063396345779685
H_f,4,4,0.6214150111548357
H_f,4,4,0.9449064224929957
H_f,4,4,0.8582536837573165
H_f,4,4,0.7443361354218277
H_f,4,4,1.2387266534869599
H_f,4,4,1.5473420268506566
H_f,4,4,1.4225381530287005
H_f,4,4,1.2375654520673023
H_f,4,4,1.490195822493811
H_f,4,4,1.6893286579645275
H_f,4,4,0.6689476458225525
H_f,4,4,0.07242905611319089
H_f,4,4,0.33650582623173925
H_f,4,4,0.6378407980405133
H_f,4,4,0.9761978699333016
H_f,4,4,1.5427077937432898
H_f,4,4,1.4024344912044822
H_f,4,4,1.182014752400309
H_f,4,4,1.091830904312194
H_f,4,4,0.9603632960666028
H_f,4,4,0.8042164800946666
H_f,4,4,0.7710456346307518
H_f,4,4,0.7517912041217649
H_f,4,4,0.7210430490468823
H_f,4,4,0.960476922792424
H_f,4,4,1.2685123437952808
H_f,4,4,1.176832921466185
H_f,4,4,1.122271921744591
H_f,4,4,0.8736937521463748
H_f,4,4,0.5856947599666805
H_f,4,4,0.7526145928785182
H_f,4,4,0.976902375425852
H_f,4,4,1.0550756925414917
H_f,4,4,1.1698263695143578
H_f,4,4,0.9183792496313713
H_f,4,4,0.6188567358773537
H_f,4,4,0.9149577540374191
H_f,4,4,1.2861745558926398
H_f,4,4,1.0463523374447512
H_f,4,4,0.8181655972294116
H_f,4,4,1.186962600317206
H_f,4,4,1.466200480761848
H_f,4,4,1.0175932190648103
H_f,4,4,0.5813367364270081
H_f,4,4,0.8679240058384247
H_f,4,4,1.1954922291332502
H_f,4,4,1.1577538925199387
H_f,4,4,1.1137659801175603
H_f,4,4,1.6093850284434184
H_f,4,4,1.9406767959866673
H_f,4,4,1.5010641856083073
H_f,4,4,0.7390913330030343
H_f,4,4,1.1205903643715085
H_f,4,4,1.3806371374810253
H_f,4,4,0.895499691461113
H_f,4,4,0.4147231488041978
H_f,4,4,0.6489103856503022
H_f,4,4,1.0435547807354526
H_f,4,4,0.9871214372780226
H_f,4,4,0.8999764417929784
H_f,4,4,1.290961081980642
H_f,4,4,1.6399324558231885
H_f,4,4,0.9827752435468251
H_f,4,4,0.5334698103252551
H_f,4,4,0.8988302719330463
H_f,4,4,1.1189532058514808
H_f,4,4,0.8346092210275644
H_f,4,4,0.45875019211320944
H_f,4,4,0.9305109864064975
H_f,4,4,1.7870831596822911
H_f,4,4,1.1851608052669325
H_f,4,4,0.46411573957497887
H_f,4,4,0.9919849963769155
H_f,4,4,1.3739103511423325
H_f,4,4,0.8276066540544871
H_f,4,4,0.3170792856535588
H_f,4,4,0.5985198881440695
H_f,4,4,1.4141747691401163
H_f,4,4,1.4592617112285313
H_f,4,4,1.432462796376024
H_f,4,4,1.403115974598475
H_f,4,4,1.3222412914508568
H_f,4,4,1.1989617199305629
H_f,4,4,1.091834950659201
H_f,4,4,0.9707032063540971
H_f,4,4,1.0002320016480202
H_f,4,4,0.989415748820791
H_f,4,4,0.9505534482034523
H_f,4,4,1.197784187033938
H_f,4,4,1.374946989496709
H_f,4,4,1.1355765449970248
H_f,4,4,0.7278369798272885
H_f,4,4,1.0021445565956777
H_f,4,4,1.3856505570230409
H_f,4,4,1.3377056436488295
H_f,4,4,1.1860525002105107
H_f,4,5,0.9872386669548229
H_f,4,5,0.8863073601768021
H_f,4,5,0.8273840020388273
H_f,4,5,0.7938884099247889
H_f,4,5,0.8798155944379001
H_f,4,5,0.974594372378277
H_f,4,5,1.0028925800667885
H_f,4,5,1.1628764680295005
